task,sub,t1_ec,t1_fc
SOCIAL,103212,0.7688268051675322,0.6603093769336058
GAMBLING,103212,0.6872859205370032,0.47837492734329584
MOTOR_HF,103414,0.7988519303245646,0.6068451052819079
WM,103414,0.7687178669866686,0.6018519490746818
RELATIONAL,103414,0.7302776892355577,0.5246429040181501
LANGUAGE,103414,0.8533879586747416,0.8147780923630773
EMOTION,103414,0.6637820861380382,0.44250126563291015
SOCIAL,103414,0.7679271745448409,0.6798370614816343
MOTOR_HF,103515,0.731621885136782,0.5529420808880054
WM,103515,0.7250848442802766,0.5224902030637691
RELATIONAL,103515,0.7256630978943617,0.5818573866086663
LANGUAGE,103515,0.7750666566666041,0.6189831811448822
EMOTION,103515,0.7657761611010069,0.6201586259914124
SOCIAL,103515,0.7553925337033355,0.6083374271089194
GAMBLING,103515,0.6385474284214275,0.4322200138750867
MOTOR_HF,103818,0.8010815067594173,0.6159456621603884
WM,103818,0.8204226276414226,0.6507301295633097
RELATIONAL,103818,0.8442782142388389,0.6962421015131344
LANGUAGE,103818,0.8193488084300525,0.706135975849849
EMOTION,103818,0.7827992049950311,0.6785481784261151
SOCIAL,103818,0.8049085931787072,0.6896576228601429
GAMBLING,103818,0.6648647179044869,0.43290158063487894
MOTOR_HF,104012,0.7229100181876136,0.5619393246207789
WM,104012,0.7864237901486884,0.6695124969531059
RELATIONAL,104012,0.6917580109875687,0.5175071719198244
LANGUAGE,104012,0.841129694560591,0.7510976318601991
EMOTION,104012,0.7333225207657547,0.537531922074513
SOCIAL,104012,0.7312705079406745,0.5729375808598803
GAMBLING,104012,0.7085901786886168,0.4582356139725873
MOTOR_HF,104416,0.8251714698216863,0.6789426808917555
WM,104416,0.7755999099994374,0.6552562203513771
RELATIONAL,104416,0.785758160988506,0.6314285714285715
LANGUAGE,104416,0.846086663041644,0.7159471621697634
EMOTION,104416,0.7789093056831604,0.6223833273957962
SOCIAL,104416,0.7981092381827386,0.606139163369771
GAMBLING,104416,0.6921735135844599,0.45816961356008473
MOTOR_HF,104820,0.7914956968481052,0.673701460634129
WM,104820,0.8283121144507153,0.8017130107063168
RELATIONAL,104820,0.8484728029550185,0.750296251851574
LANGUAGE,104820,0.8372958580991129,0.744122025762661
EMOTION,104820,0.7786481165507284,0.606644291526822
SOCIAL,104820,0.7473354208463803,0.5943466521665759
GAMBLING,104820,0.6842094013087582,0.4836161476009224
MOTOR_HF,105014,0.748482740517128,0.5554337839611496
WM,105014,0.8063630397689985,0.6264479777998613
RELATIONAL,105014,0.8269718560741004,0.6703148144675904
LANGUAGE,105014,0.8369802936268351,0.7779185494909342
EMOTION,105014,0.7504237526484541,0.5235784598653741
SOCIAL,105014,0.820006187538672,0.649972812330077
GAMBLING,105014,0.7529274557965987,0.5298325614535091
MOTOR_HF,105115,0.7116966981043631,0.48875949224682647
WM,105115,0.8394539965874785,0.6924101400633753
RELATIONAL,105115,0.7436052725329533,0.6650321564509778
LANGUAGE,105115,0.8603195019968874,0.7561914761967261
EMOTION,105115,0.7032919580747379,0.5160349127182045
SOCIAL,105115,0.7521864511653197,0.5736723979524871
GAMBLING,105115,0.7266939793373709,0.5365449159057244
MOTOR_HF,105216,0.7926383289895561,0.5571709823186394
WM,105216,0.8492025575159845,0.7558594116213225
RELATIONAL,105216,0.828621678885493,0.7373642960268502
LANGUAGE,105216,0.8237052106575665,0.7047632797704985
EMOTION,105216,0.7489473684210525,0.5305915661972886
SOCIAL,105216,0.752479140494628,0.5260112875705473
GAMBLING,105216,0.7301222507640672,0.5130386439915249
MOTOR_HF,105620,0.7599279995499971,0.6067712298201864
WM,105620,0.8222333264582903,0.684236588978681
RELATIONAL,105620,0.7583668647929048,0.6492438077737986
LANGUAGE,105620,0.8057142857142856,0.6722520765754786
EMOTION,105620,0.746202913768211,0.639711623197645
SOCIAL,105620,0.7693069956687227,0.6450336564603527
GAMBLING,105620,0.6917145107156919,0.4585151782198639
MOTOR_HF,105923,0.7161830386439916,0.42413815086344286
WM,105923,0.8024369527309545,0.6175799223745148
RELATIONAL,105923,0.7557684735529597,0.5773920462002887
LANGUAGE,105923,0.8460589128682054,0.7748682804267526
EMOTION,105923,0.8126638291489322,0.7239660247876549
SOCIAL,105923,0.7881283633022707,0.6585845536534602
GAMBLING,105923,0.7247300920630755,0.579907561922262
MOTOR_HF,106319,0.7038962743517146,0.44638872742954633
WM,106319,0.7656242851517822,0.6329171432321452
RELATIONAL,106319,0.761760448502803,0.6544940280876755
LANGUAGE,106319,0.7458635366471039,0.6190218063862899
EMOTION,106319,0.6744850280314252,0.5751099694373089
SOCIAL,106319,0.7387534922093263,0.5576888605553784
GAMBLING,106319,0.6861221007631297,0.4726527665797911
MOTOR_HF,106521,0.7549515309470683,0.6202385014906343
WM,106521,0.7494322464515402,0.5854504715654473
RELATIONAL,106521,0.7286826167663547,0.5551838448990306
LANGUAGE,106521,0.8233354583466147,0.7354326589541184
EMOTION,106521,0.8046297789361182,0.6703735023343895
SOCIAL,106521,0.7646033412708828,0.5921984512403202
GAMBLING,106521,0.6953797836236476,0.509816623853899
MOTOR_HF,106824,0.7467386046162788,0.5425545159657248
WM,106824,0.8590786192413703,0.6678433615210094
RELATIONAL,106824,0.7843198394989968,0.536562916018225
LANGUAGE,106824,0.8149727185794909,0.7958584741154631
