sub_id,roi,time,global_baseline_energy,global_evoked_energy,global_effect_size
id_100206,100,0,231.0133236045064,297.7875301272816,0.0002523571842197
id_100206,100,1,371.2147428477334,457.6541786372198,0.0001836489637168
id_100206,100,2,528.6079802034274,610.8712781522461,0.0001929390217507
id_100206,100,3,673.7361081437541,743.7319263572938,0.0001862569761992
id_100206,100,4,791.1038630494013,849.0089728435036,0.000193844324063
id_100206,100,5,878.0324213126519,924.0953954440022,0.0001850113773523
id_100206,100,6,939.950978580895,974.9434674290892,0.0001903970118093
id_100206,100,7,984.088634047088,1009.129350614136,0.000197959940033
id_100206,100,8,1014.5183737654716,1023.6784126798608,0.000194407268733
id_100206,100,9,1031.0199903023672,1017.986553556584,0.0002194767488566
id_100206,100,10,1030.6397860862874,993.5712260460874,0.0002226330784891
id_100206,100,11,1008.9840880221412,945.973742033943,0.0002220916181248
id_100206,100,12,961.2070939261162,871.587770439736,0.000220152586287
id_100206,100,13,884.6710017672926,771.1462854322674,0.000219630466743
id_100206,100,14,782.5407011694185,652.9949034551812,0.0002280899520816
id_100206,100,15,664.9306460861258,533.529819458397,0.0002291372056548
id_100206,100,16,546.4524134358353,426.2334148430401,0.0002284094934608
id_100206,100,17,442.3579080490582,344.5969621745647,0.0002466426361525
id_100206,100,18,365.21156512101334,297.7817926826897,0.000259346326072
id_100206,100,19,322.28027814579207,287.24186988898157,0.0002717187856433
id_100206,100,20,313.5479123393595,302.82583109205063,0.000247838424894
id_100206,100,21,331.29833504426324,330.6061688876524,0.0002230456163685
id_100206,100,22,362.19690023798273,357.6437329462634,0.0002165508619839
id_100206,100,23,391.1836654896299,372.73008658016767,0.0002260631949973
id_100206,100,24,406.2294803080176,372.600279235554,0.0002362402296113
id_100206,100,25,403.2879418761683,362.57344996214294,0.0002244853975727
id_100206,100,26,389.034547845107,356.98137145930036,0.0002337810596832
id_100206,100,27,377.65749574230136,365.5200714322473,0.0002238441637095
id_100206,100,28,380.66434207806253,384.4824397187843,0.0002329722028115
id_100206,100,29,396.12091992353874,400.9629385162645,0.0002575259781313
id_100206,100,30,408.16611997354016,393.9783484896387,0.0002605803298796
id_100206,100,31,399.0259966764716,356.83300047255636,0.0002406951399698
id_100206,100,32,362.5500702294678,299.8161911112414,0.0002436099644476
id_100206,100,33,308.2559572305852,243.4728642039477,0.0002508671711257
id_100206,100,34,255.27709237741325,208.38681459528135,0.0002745529535962
id_100206,100,35,221.76958490480496,202.27520662671608,0.0002621588337664
id_100206,100,36,216.07026875421585,218.7296953156332,0.0002632308732868
id_100206,100,37,234.3318789694404,247.5736147521364,0.0002688983514956
id_100206,100,38,264.80716898283265,276.3246173451387,0.0002591245066956
id_100206,100,39,294.471518383407,292.8077737397024,0.000231906470626
id_100206,100,40,313.33410801607204,293.7354890459617,0.0002469096679001
id_100206,100,41,315.9893085319065,279.49349140034246,0.0002498047255834
id_100206,100,42,302.2307495236556,252.195922613082,0.0002650353200479
id_100206,100,43,276.31084310154404,222.91121103541977,0.0002666599052652
id_100206,100,44,244.7614897739055,195.25351100661965,0.0002628699675967
id_100206,100,45,214.77440805951733,175.3432872442649,0.0002635885011587
id_100206,100,46,193.4335923495085,170.02916897913644,0.0003058136501485
id_100206,100,47,186.04758524748752,180.56531255613697,0.0002980426204603
id_100206,100,48,193.03312998795224,196.09841663409748,0.0002976823614405
id_100206,100,49,207.78208382315415,206.14439311476167,0.0002932114672885
id_100206,100,50,219.12111707946295,205.3233178692131,0.0002946381631787
id_100206,100,51,218.21372718715728,191.4420999682268,0.0003220394058455
id_100206,100,52,204.27231489290145,168.70894050983406,0.0002918363292608
id_100206,100,53,184.2021577847079,150.2737294605402,0.0002990422926889
id_100206,100,54,167.695172911986,144.51585934672894,0.0002900646891867
id_100206,100,55,162.2809594426467,150.8723670103587,0.0002829170179195
id_100206,100,56,170.50037967704918,169.1851090212433,0.0002755232809304
id_100206,100,57,189.4014762990989,194.75867730428195,0.0002640511295767
id_100206,100,58,212.4395610361533,216.68315196428836,0.000273824490611
id_100206,100,59,232.65706499597636,229.63968652196425,0.0003000033633014
id_100206,100,60,245.112759845172,231.9423592520175,0.0002771946856498
id_100206,100,61,247.74788802494973,226.9433063949095,0.000308896283852
id_100206,100,62,241.313090597403,216.26107489633887,0.0002989969357404
id_100206,100,63,228.92492782113217,204.2118397437155,0.0002795559168607
id_100206,100,64,214.94988344785168,193.4024467857708,0.0002794936679667
id_100206,100,65,203.36008091694745,186.83524988188424,0.0002834081219354
id_100206,100,66,196.9559154656324,186.4052016085252,0.0002687340105839
id_100206,100,67,197.83445869730383,194.16053592519145,0.000253749906937
id_100206,100,68,207.34772188390235,210.70138886040425,0.0002675761153096
id_100206,100,69,224.57183415007657,231.47543102669147,0.0002701232586095
id_100206,100,70,244.76520011527376,247.4490169180068,0.0002731945472915
id_100206,100,71,259.7722128769903,251.60085650077392,0.0002978209844382
id_100206,100,72,260.99231549404385,237.113874307208,0.0002885161636368
id_100206,100,73,243.9744242833554,205.4490082056925,0.0002987611946078
id_100206,100,74,211.99234026512653,167.70806207526266,0.0002894219594698
id_100206,100,75,175.198862280821,135.83233598668892,0.0003235355615323
id_100206,100,76,145.22027721639466,119.252082480371,0.0003024025242563
id_100206,100,77,129.34691935892494,116.32665864246394,0.0002917627886684
id_100206,100,78,128.0310690361913,123.5651830589862,0.0002867866625446
id_100206,100,79,136.34442490533127,136.14755971495987,0.0002925253656133
id_100206,100,80,148.33635048488836,151.75270094566227,0.0002775518400032
id_100206,100,81,161.87466873879006,173.35327726115847,0.0002689641786068
id_100206,100,82,180.03760130356557,203.6951191145258,0.0002724629003047
id_100206,100,83,207.79834954327595,243.453171385064,0.000254709656077
id_100206,100,84,247.46228633548668,294.13380541823017,0.0002634860144072
id_100206,100,85,296.3658059967993,348.83950325542526,0.0002484386477168
id_100206,100,86,347.52065585951385,395.29346222564504,0.0002522193160378
id_100206,100,87,391.94395793902675,426.53888878624974,0.000288750948175
id_100206,100,88,421.72641621050184,435.3210485187934,0.00028863553482
id_100206,100,89,433.1228845570855,424.6499337782774,0.0002790653807945
id_100206,100,90,427.5327440646211,402.6739518635802,0.0002781017147021
id_100206,100,91,409.2683571477548,375.17406398883026,0.0002632325446921
id_100206,100,92,382.4983904844526,344.7821016063763,0.0002757371676328
id_100206,100,93,350.3080243549799,311.98663534727433,0.000246269532063
id_100206,100,94,315.6651546873811,278.10671846624507,0.0002680238936417
id_100206,100,95,282.3418037638929,250.60715310358788,0.0002538273665626
id_100206,100,96,254.76335877877213,228.95715253292715,0.0002606810170152
id_100206,100,97,236.59785555701905,216.38606029244352,0.0002594057408155
id_100206,100,98,228.79426473317625,210.989887333323,0.000271579984611
id_100206,100,99,228.18372123615373,210.40021426516503,0.0002691400547993
id_100206,100,100,227.50072618858604,203.54892792484236,0.0002790455862684
id_100206,100,101,218.27266141127893,185.0712435725814,0.0003067108504531
id_100206,100,102,196.7600446291752,159.18506894436928,0.0003036437111338
id_100206,100,103,168.59777948396626,136.524098686515,0.0002945668411485
id_100206,100,104,146.2554081852544,129.64586807532567,0.0002939745245873
id_100206,100,105,140.6431228866765,145.1066782637822,0.0003040247208526
id_100206,100,106,154.41176324860925,171.57061000774473,0.0003178919559488
id_100206,100,107,180.9484965772419,199.91408451389367,0.0003088303627042
id_100206,100,108,208.290380340696,217.54889129819077,0.0002989050609714
id_100206,100,109,225.3574493746678,220.38826962626388,0.0002969064856932
id_100206,100,110,227.13581600538825,209.61408303682632,0.0002991192748415
id_100206,100,111,215.95717470165528,194.3177602385702,0.0002930658164099
id_100206,100,112,198.62625436891403,178.11071600862158,0.000296897890669
id_100206,100,113,182.24070115647143,165.43948735804688,0.0003018512537029
id_100206,100,114,171.35289298979234,157.8360661033537,0.0003225577901413
id_100206,100,115,166.8601537722176,156.06072477019933,0.0003431263244351
id_100206,100,116,166.55596824905598,156.18658148413255,0.0003430930630818
id_100206,100,117,167.54541837094015,157.68061174467388,0.000337115838524
id_100206,100,118,169.08276382253166,161.25293456728124,0.0003024164565049
id_100206,100,119,173.25019601588005,170.82285690849574,0.0002887201062349
id_100206,100,120,183.02421978916203,188.6199361857819,0.0002905770138295
id_100206,100,121,199.71533131953709,211.65220364981556,0.0002749770825317
id_100206,100,122,221.61256436285936,234.10745045839624,0.0002780571373888
id_100206,100,123,244.34337219334057,251.43984998578048,0.0002832909376114
id_100206,100,124,262.6735591896744,262.4093559615554,0.000308945707347
id_100206,100,125,272.90817403433914,265.14781267788476,0.0003163738570194
id_100206,100,126,274.3601250459117,261.35423053578114,0.0003091225782448
id_100206,100,127,268.81003792659885,253.81587738514827,0.0003088827258324
id_100206,100,128,258.8317119947927,242.91985579785128,0.0003241153920033
id_100206,100,129,246.68973559903537,231.0951176204777,0.0003306935392042
id_100206,100,130,234.32085052525585,221.1930450846485,0.0003317934150685
id_100206,100,131,223.6937987592829,213.2455284304181,0.0003143027112806
id_100206,100,132,216.60262670626855,207.90895918853064,0.000315011071401
id_100206,100,133,213.53033478329155,203.57170237734923,0.000285998085405
id_100206,100,134,212.44333548515368,199.52778527022969,0.0002886529949471
id_100206,100,135,209.34808143061957,191.3490175038036,0.000288000510993
id_100206,100,136,201.0071774444653,179.95885358786973,0.0002707791655718
id_100206,100,137,187.59552578732053,167.66103310715806,0.0002638111137239
id_100206,100,138,173.0567615053683,157.55158845300593,0.0002726107896898
id_100206,100,139,162.9803686169991,156.38748454778042,0.0002871669403532
id_100206,100,140,161.49627578972093,164.38550653161184,0.0003013445469323
id_100206,100,141,169.2158043771746,179.31918222831194,0.000296913773067
id_100206,100,142,183.32120100467048,196.42554236721088,0.0002967563392646
id_100206,100,143,199.1786439392317,208.83291603628504,0.0002796786698494
id_100206,100,144,212.07464960303236,212.21464681153475,0.0002982711253886
id_100206,100,145,218.23402442788313,206.69350180828096,0.0003206878623039
id_100206,100,146,215.3474823532131,193.7984770875558,0.0003308442208045
id_100206,100,147,203.37666525571603,175.54541707441197,0.0003246362921189
id_100206,100,148,185.484464197316,157.76862086539552,0.0003355432841966
id_100206,100,149,167.75723160387236,146.88396841579964,0.0003416100886643
id_100206,100,150,156.90264388305928,147.6280016979181,0.0003038037852108
id_100206,100,151,156.90092664622426,156.96978594527397,0.0002771830731902
id_100206,100,152,166.58328303906012,169.62429756059726,0.0002712093535983
id_100206,100,153,179.68624116378433,178.61149772810106,0.0002754623482188
id_100206,100,154,188.03882970692231,178.25346993566126,0.0002845378178857
id_100206,100,155,186.5114870219837,167.52340780241408,0.0002598052350674
id_100206,100,156,176.04968505782753,152.62470365497126,0.0002601593814506
id_100206,100,157,162.2754447888694,140.79366669871234,0.0002423136945607
id_100206,100,158,151.2499572189305,134.63989048352482,0.0002343569857296
id_100206,100,159,146.0723856969646,134.08993719819213,0.0002542701014814
id_100206,100,160,146.31560438649336,137.17574533326385,0.0002599083131548
id_100206,100,161,149.83955455572217,142.29075853730916,0.0002695291832679
id_100206,100,162,155.4142429653748,151.0735853727553,0.0002622295522691
id_100206,100,163,164.3473935634571,166.50380705064558,0.0002599168845664
id_100206,100,164,179.67673584518442,191.26099375904496,0.0002655944338789
id_100206,100,165,203.39188461881736,221.7842697152977,0.0002684059994516
id_100206,100,166,234.3524396322395,255.7213954290692,0.000261115935989
id_100206,100,167,268.47139437932935,288.8312318938313,0.0002612264677321
id_100206,100,168,300.28586474796816,313.0520924421538,0.0002614712067005
id_100206,100,169,324.9247308289214,327.56152027669987,0.0002522112475437
