task,sub,t1_ec,t1_fc,p_spin,best_seed_net
RELATIONAL,101107,0.6765421033881461,0.4540715879474246,0.000999000999000999,Default
SOCIAL,101107,0.7129336433352708,0.5558280989256182,0.000999000999000999,DorsAttn
EMOTION,101107,0.7512963831023943,0.5788436802730016,0.000999000999000999,Default
LANGUAGE,101107,0.7600251251570321,0.665828473927962,0.000999000999000999,Default
MOTOR,101309,0.7022453265332907,0.44415277595484964,0.001998001998001998,SalVentAttn
WM,101309,0.7751647197794985,0.5178328614553841,0.000999000999000999,Cont
GAMBLING,101309,0.6536686479290496,0.4296473102956893,0.11288711288711288,Cont
RELATIONAL,101309,0.7019916374477341,0.5318240114000712,0.00999000999000999,Default
SOCIAL,101309,0.7486779292370577,0.5525693285583034,0.000999000999000999,Default
EMOTION,101309,0.7821035756473478,0.5949196557478483,0.000999000999000999,Default
LANGUAGE,101309,0.8025837661485384,0.6958622241389009,0.000999000999000999,SomMot
MOTOR,101915,0.8101946262164138,0.6318225113906962,0.000999000999000999,SalVentAttn
WM,101915,0.7897843736523353,0.60039843999025,0.000999000999000999,Cont
GAMBLING,101915,0.7980784879905499,0.6447158419740122,0.000999000999000999,SalVentAttn
RELATIONAL,101915,0.7107672547953423,0.45480959255995346,0.000999000999000999,Vis
SOCIAL,101915,0.7836969606060037,0.5982328014550091,0.000999000999000999,Cont
EMOTION,101915,0.7085856786604916,0.4504946280914255,0.000999000999000999,Vis
LANGUAGE,101915,0.7867316670729192,0.6871878574241088,0.000999000999000999,Default
MOTOR,102008,0.7115249470309187,0.5520625128907055,0.000999000999000999,SalVentAttn
WM,102008,0.7531078319239495,0.4881377383608647,0.000999000999000999,DorsAttn
GAMBLING,102008,0.627131794573716,0.3174317964487278,0.027972027972027972,Limbic
RELATIONAL,102008,0.8079149869686685,0.5869171057319108,0.000999000999000999,Cont
SOCIAL,102008,0.7475939849624058,0.6470273564209776,0.000999000999000999,Default
EMOTION,102008,0.8014619466371664,0.7033236457727859,0.000999000999000999,Default
LANGUAGE,102008,0.7809896311851949,0.640694504340652,0.000999000999000999,Default
MOTOR,102109,0.8076093600585004,0.6709759435996474,0.000999000999000999,SalVentAttn
WM,102109,0.7898972493578085,0.551644385277408,0.000999000999000999,DorsAttn
GAMBLING,102109,0.7334520840755254,0.5402300639378996,0.000999000999000999,Limbic
